#  W. Yin, Y. Fujita, Y. Ezoe, Y. Ishisaki, 2025
# https://arxiv.org/abs/2503.04726
# mass [eV]	photon coupling [GeV^-1]
3850.6666666666665	2.4309651688087884e-17
3851.3333333333335	2.405290150896873e-17
3852.	2.3838455228761337e-17
3852.6666666666665	2.366264720719061e-17
3853.3333333333335	2.3522202329252566e-17
3854.	2.3414328643440516e-17
3854.6666666666665	2.333682087625015e-17
3855.3333333333335	2.3288167088246802e-17
3856.	2.3267774350599513e-17
3856.6666666666665	2.3276630748324344e-17
3857.3333333333335	2.3318580942088972e-17
3858.	2.34013054512069e-17
3858.6666666666665	2.3533930337236106e-17
3859.3333333333335	2.37045228001657e-17
3860.	2.393477219854475e-17
3860.6666666666665	2.4194478425583078e-17
3861.3333333333335	2.448711747800891e-17
3862.	2.4832298748374133e-17
3862.6666666666665	2.5248514687952187e-17
3863.3333333333335	2.5743930604240205e-17
3864.	2.7656071473181783e-17
3864.6666666666665	2.842143130057221e-17
3865.3333333333335	2.928363476878464e-17
3866.	3.0230834280866625e-17
3866.6666666666665	3.123579285977232e-17
3867.3333333333335	3.224774682825397e-17
3868.	3.3186091100417894e-17
3868.6666666666665	3.394166033324598e-17
3869.3333333333335	3.439382111822335e-17
3870.	3.444543488897383e-17
3870.6666666666665	3.406241875332286e-17
3871.3333333333335	3.3291511313612554e-17
3872.	3.224308802845457e-17
3872.6666666666665	3.104274974973278e-17
3873.3333333333335	2.9805517373276334e-17
3874.	2.8612278773443683e-17
3874.6666666666665	2.7510906710174782e-17
3875.3333333333335	2.6523841303986287e-17
3876.	2.5656871490828338e-17
3876.6666666666665	2.4906100322207642e-17
3877.3333333333335	2.426279917932527e-17
3878.	2.3716454100440445e-17
3878.6666666666665	2.3256213512840948e-17
3879.3333333333335	1.8016026404222232e-17
3880.	1.7801068011588453e-17
3880.6666666666665	1.7625854701191103e-17
3881.3333333333335	1.7478247787596673e-17
3882.	1.734366415172127e-17
3882.6666666666665	1.7204314034266265e-17
3883.3333333333335	1.7045951972996504e-17
3884.	1.6869265360208138e-17
3884.6666666666665	1.669774712822303e-17
3885.3333333333335	1.65691265658843e-17
3886.	1.6512916480186073e-17
3886.6666666666665	1.653609876167331e-17
3887.3333333333335	1.6628616430189055e-17
3888.	1.6777446535955622e-17
3888.6666666666665	1.6975541342790946e-17
3889.3333333333335	1.7223120856182694e-17
3890.	1.7525478531869176e-17
3890.6666666666665	1.789102623943955e-17
3891.3333333333335	1.8330373828546132e-17
3892.	1.8856024381629187e-17
3892.6666666666665	1.948214443484349e-17
3893.3333333333335	2.022384985869111e-17
3894.	2.1095526394015558e-17
3894.6666666666665	2.2106492101196525e-17
3895.3333333333335	2.325343292068834e-17
3896.	2.4499893014867525e-17
3896.6666666666665	2.574841920282382e-17
3897.3333333333335	2.687110488997233e-17
3898.	4.986448459544236e-17
3898.6666666666665	4.647478672084363e-17
3899.3333333333335	4.1871057907477796e-17
3900.	3.79413814985683e-17
3900.6666666666665	3.485759661074407e-17
3901.3333333333335	3.244804131731439e-17
3902.	3.054577218559479e-17
3902.6666666666665	2.902598806967409e-17
3903.3333333333335	2.7799476633811206e-17
3904.	2.680263231570128e-17
3904.6666666666665	2.5989135822279188e-17
3905.3333333333335	2.532465690360754e-17
3906.	2.478335025051272e-17
3906.6666666666665	2.4345524635153365e-17
3907.3333333333335	2.3996029000251256e-17
3908.	2.3723273264308604e-17
3908.6666666666665	2.3518495706174488e-17
3909.3333333333335	2.337516856140127e-17
3910.	2.328856778939913e-17
3910.6666666666665	2.3255323855662678e-17
3911.3333333333335	2.3272551689692583e-17
3912.	2.333644489464452e-17
3912.6666666666665	2.34405623367109e-17
3913.3333333333335	2.3440301457384962e-17
3914.	2.356842730671034e-17
3914.6666666666665	2.3716837804021498e-17
3915.3333333333335	2.3891630819729563e-17
3916.	2.4119864120771332e-17
3916.6666666666665	2.4442834175491084e-17
3917.333333333333	2.4890093580203244e-17
3918.	2.546199560298283e-17
3918.666666666667	2.6134526441768712e-17
3919.3333333333335	2.687019803154164e-17
3920.	2.7618395529045223e-17
3920.6666666666665	2.830542360420874e-17
3921.333333333333	2.8826085304418084e-17
3922.	2.905062984129163e-17
3922.666666666667	2.886142566505237e-17
3923.3333333333335	2.821237411001598e-17
3924.	2.7164032704693712e-17
3924.6666666666665	2.587750621113675e-17
3925.333333333333	2.4523197300035026e-17
3926.	2.3247815400547814e-17
3926.666666666667	2.210789404786216e-17
3927.3333333333335	1.8436785468946688e-17
3928.	1.7715558848032515e-17
3928.6666666666665	1.7110705847133036e-17
3929.333333333333	1.6603520365740912e-17
3930.	1.617946067519555e-17
3930.666666666667	1.5824735221131047e-17
3931.3333333333335	1.55282884256706e-17
3932.	1.5280915734035578e-17
3932.6666666666665	1.5074945738824464e-17
3933.333333333333	1.490399226493183e-17
3934.	1.4762703916041282e-17
3934.666666666667	1.730799342888003e-17
3935.3333333333335	1.7145551376908758e-17
3936.	1.7014594769365627e-17
3936.6666666666665	1.6909980793362766e-17
3937.333333333333	1.68275966042634e-17
3938.	1.676425829416516e-17
3938.666666666667	1.6717927501635892e-17
3939.3333333333335	1.6688713462072195e-17
3940.	1.6681141578646487e-17
3940.6666666666665	1.6707214831124297e-17
3941.333333333333	1.6786704088835692e-17
3942.	1.6938811325551048e-17
3942.666666666667	1.716518376328707e-17
3943.3333333333335	1.7500182993882728e-17
3944.	1.777839204873417e-17
3944.6666666666665	1.803089665280918e-17
3945.333333333333	1.8251709410954448e-17
3946.	1.8451571313838606e-17
3946.666666666667	1.8645516541043373e-17
3947.3333333333335	1.8845254275013592e-17
3948.	1.90562772076248e-17
3948.6666666666665	1.9277614020121973e-17
3949.333333333333	1.950235464109679e-17
3950.	1.971554023625216e-17
3950.666666666667	1.9903349739706363e-17
3951.3333333333335	2.003864277334608e-17
3952.	2.0093408895618262e-17
3952.6666666666665	2.0042459276814423e-17
3953.333333333333	1.987114930510719e-17
3954.	1.958245732178837e-17
3954.666666666667	1.9197119309489302e-17
3955.3333333333335	1.8745348051525383e-17
3956.	1.8254673534771058e-17
3956.6666666666665	1.7740883253731063e-17
3986.666666666667	2.5942876427052088e-17
3987.3333333333335	2.548211732719583e-17
3988.	2.5078366361787714e-17
3988.6666666666665	2.47501726532737e-17
3989.333333333333	2.580240617287982e-17
3990.	2.545298346626185e-17
3990.666666666667	2.5291333393416487e-17
3991.3333333333335	2.523469028777595e-17
3992.	2.527462848731987e-17
3992.6666666666665	2.53999306073748e-17
3993.333333333333	2.5592729404792086e-17
3994.	2.582413355815079e-17
3994.666666666667	2.6054358656670406e-17
3995.3333333333335	2.6252507323473e-17
3996.	2.6437996454195053e-17
4026.	2.786881740123065e-17
4026.6666666666665	2.7579721676799946e-17
4027.333333333333	2.744682276522582e-17
4027.9999999999995	2.7396277405114332e-17
4028.666666666667	2.734342900485097e-17
4029.3333333333335	2.7253813046776614e-17
4030.0000000000005	2.7148007834503564e-17
4030.666666666667	2.705036379750511e-17
4031.3333333333335	2.6953892638116643e-17
4032.	2.682098285100658e-17
4032.6666666666665	2.660026958185307e-17
4033.333333333333	2.6239375924057635e-17
4034.	2.5696745642156188e-17
4034.6666666666665	2.4953655517818635e-17
4035.333333333333	2.4023219886942766e-17
4035.9999999999995	2.2948414866155592e-17
4036.666666666667	2.1792025173378593e-17
4037.3333333333335	2.0656776091358113e-17
4038.0000000000005	2.0109919324748615e-17
4038.666666666667	1.8997439144946718e-17
4039.3333333333335	1.7929542432275017e-17
4040.	1.6929466885434817e-17
4040.6666666666665	1.604875435355411e-17
4041.333333333333	1.5337947403920227e-17
4042.	1.481419900532429e-17
4042.6666666666665	1.4456978858956008e-17
4043.333333333333	1.4226793376256855e-17
4043.9999999999995	1.408548604133569e-17
4044.666666666667	1.4006311659688557e-17
4045.3333333333335	1.397377225810224e-17
4046.0000000000005	1.3979344179506514e-17
4046.666666666667	1.4017620386848406e-17
4047.3333333333335	1.408402627140749e-17
4048.	1.5992290699081397e-17
4048.6666666666665	1.6161876539603468e-17
4049.333333333333	1.6344132258851966e-17
4050.	1.652578385882354e-17
4050.6666666666665	1.6693039179887675e-17
4051.333333333333	1.6831794251014884e-17
4051.9999999999995	1.693111025535229e-17
4052.666666666667	1.6985571625358143e-17
4053.3333333333335	1.6996557889133414e-17
4054.0000000000005	1.6971640714515938e-17
4054.666666666667	1.6922568963527153e-17
4055.3333333333335	1.6863211919079497e-17
4056.	1.6808472302004424e-17
4056.6666666666665	1.677519378420258e-17
4057.333333333333	1.6733888991273772e-17
4058.	1.682263261649714e-17
4058.6666666666665	1.701197318184541e-17
4059.333333333333	1.7321857584211205e-17
4059.9999999999995	1.7743186816853394e-17
4060.666666666667	1.8236157756589872e-17
4061.3333333333335	1.87554329460937e-17
4062.0000000000005	1.9279518145658818e-17
4062.666666666667	1.980173614028332e-17
4063.3333333333335	2.0339912919223755e-17
4064.	2.0912301598649833e-17
4064.6666666666665	2.1521124208741793e-17
4065.333333333333	2.2153732161858412e-17
4066.	2.278608378661192e-17
4066.6666666666665	2.3386193629967304e-17
4067.333333333333	2.391944746061538e-17
4067.9999999999995	2.4355212262508863e-17
4068.666666666667	2.4673574369035632e-17
4069.3333333333335	2.4869485362239524e-17
4070.0000000000005	2.4952676938988214e-17
4070.666666666667	2.961920688112064e-17
4071.3333333333335	2.953132426088031e-17
4072.	2.9397225745286775e-17
4072.6666666666665	2.9239296129794804e-17
4073.333333333333	2.9048810658194426e-17
4074.	2.879432201635832e-17
4074.6666666666665	2.8465070829672923e-17
4075.333333333333	2.687296622006134e-17
4075.9999999999995	2.6645610035725305e-17
4076.666666666667	2.6479762585549987e-17
4077.3333333333335	2.6350812802871257e-17
4078.0000000000005	2.619331042020984e-17
4078.666666666667	2.5931329472657043e-17
4079.3333333333335	2.5500108857685424e-17
4080.	2.485964460993053e-17
4080.6666666666665	2.4004658897220582e-17
4081.333333333333	2.2967937406663893e-17
4082.	2.1826042084051856e-17
4082.6666666666665	2.070940714860301e-17
4083.333333333333	1.9677518283273074e-17
4083.9999999999995	1.875852320584201e-17
4084.666666666666	1.796144994850927e-17
4085.3333333333335	1.7283761147066897e-17
4086.0000000000005	1.671770146447331e-17
4086.666666666667	1.62538248718221e-17
4087.3333333333335	1.5883583790586808e-17
4088.	1.5600148913861424e-17
4088.6666666666665	1.5397320001110254e-17
4089.3333333333335	1.526694305459337e-17
4090.	1.4915801332750374e-17
4090.6666666666665	1.4914119374034748e-17
4091.333333333333	1.4959232039034535e-17
4091.9999999999995	1.5056680192299053e-17
4092.666666666666	1.521503468559876e-17
4093.333333333334	1.544113009643415e-17
4094.0000000000005	1.5739693507485697e-17
4094.666666666667	1.6115123638846183e-17
4095.3333333333335	1.6572254921731724e-17
4096.	1.711573791058949e-17
4096.666666666667	1.774849492439036e-17
4097.333333333333	1.8468369627641535e-17
4098.	1.9264308220409582e-17
4098.666666666666	2.01121274621936e-17
4099.333333333333	2.0972749720103347e-17
4100.	2.179460048850794e-17
4100.666666666666	2.2487846205257725e-17
4101.333333333334	2.3004637935121332e-17
4102.	2.3347057245648888e-17
4102.666666666667	2.3484330464072953e-17
4103.333333333334	2.3587366871162874e-17
4104.	2.3608391472871602e-17
4104.666666666667	2.3574449935327303e-17
4105.333333333333	2.3498035452430208e-17
4106.	2.338306426139893e-17
4106.666666666666	2.324604436464445e-17
4107.333333333333	2.3130063329919264e-17
4108.	2.3087019939366274e-17
4108.666666666666	2.3145056181266953e-17
4109.333333333334	2.3298123741799516e-17
4110.	2.351961638973494e-17
4110.666666666667	2.2599454530211726e-17
4111.333333333334	2.2855838561167608e-17
4112.	2.308544149201612e-17
4112.666666666667	2.3259803406853678e-17
4113.333333333333	2.3351721668309782e-17
4114.	2.3262595329544254e-17
4114.666666666666	2.3112042356292873e-17
4115.333333333333	2.28514346137875e-17
4116.	2.250001136241634e-17
4116.666666666666	2.2086488331136176e-17
4117.333333333334	2.1642587645368756e-17
4118.	2.1198212835262972e-17
4118.666666666667	2.077799795359843e-17
4119.333333333334	2.0400169718492847e-17
4120.	2.0077072956189638e-17
4120.666666666667	1.9816211718676638e-17
4121.333333333333	1.962203975228006e-17
4122.	1.949701661457691e-17
4122.666666666666	1.944229699616204e-17
4123.333333333333	1.9458350773198307e-17
4124.	1.9544667481687842e-17
